"","Date","Team","Acquired","Relinquished","Notes"
"17467","2008-01-19","Bulls",""," Luol Deng","placed on IL with sore left Achilles tendon"
"18467","2008-01-19","Bulls"," Kirk Hinrich","","activated from IL"
"19467","2008-01-19","Grizzlies",""," Brian Cardinal","placed on IL"
"20467","2008-01-19","Grizzlies",""," Mike Miller","placed on IL with back spasms"
"21492","2008-01-19","Grizzlies"," Casey Jacobsen","","activated from IL"
"22475","2008-01-19","Grizzlies"," Rudy Gay","","activated from IL"
"23467","2008-01-19","Magic",""," Jameer Nelson","placed on IL with strained tendon in foot"
"24467","2008-01-19","Magic"," Pat Garrity","","activated from IL"
"25467","2008-01-19","Mavericks",""," Juwan Howard","placed on IL"
"26467","2008-01-19","Mavericks"," Jerry Stackhouse","","activated from IL"
"21035","2008-01-19","Pacers",""," Jermaine O'Neal","placed on IL with bruised left knee"
"3468","2008-01-19","Pacers"," Ike Diogu","","activated from IL"
"4468","2008-01-19","Pacers"," Jamaal Tinsley","","activated from IL"
"5468","2008-01-19","Rockets",""," Steve Novak","placed on IL"
"6468","2008-01-19","Rockets"," Tracy McGrady","","activated from IL"
"7468","2008-01-19","Warriors",""," Mickael Pietrus","placed on IL with nose injury"
"8468","2008-01-19","Warriors"," Kosta Perovic","","activated from IL"
"9468","2008-01-21","Bucks",""," David Noel","placed on IL"
"10468","2008-01-21","Bucks"," Bobby Simmons","","activated from IL"
"11468","2008-01-21","Bulls",""," Chris Duhon","placed on IL with bruised left knee"
"12468","2008-01-21","Bulls"," Luol Deng","","activated from IL"
"13468","2008-01-21","Cavaliers",""," Ira Newble","placed on IL"
"14468","2008-01-21","Cavaliers"," Shannon Brown","","activated from IL"
"15468","2008-01-21","Celtics",""," James Posey","placed on IL with hand injury"
"16468","2008-01-21","Celtics"," Rajon Rondo","","activated from IL"
"17468","2008-01-21","Grizzlies",""," Casey Jacobsen","placed on IL"
"18468","2008-01-21","Grizzlies"," Mike Miller","","activated from IL"
"19468","2008-01-21","Hawks",""," Lorenzen Wright","placed on IL"
"20468","2008-01-21","Hawks",""," Solomon Jones","placed on IL"
"21493","2008-01-21","Hawks"," Salim Stoudamire","","activated from IL"
"22476","2008-01-21","Hawks"," Zaur Pachulia / Zaza Pachulia","","activated from IL"
"23468","2008-01-21","Hornets",""," Bobby Jackson","placed on IL with strained right hamstring"
"24468","2008-01-21","Hornets"," Julian Wright","","activated from IL"
"25468","2008-01-21","Lakers",""," Trevor Ariza","placed on IL with broken right foot"
"26468","2008-01-21","Pacers",""," Andre Owens","placed on IL"
"21036","2008-01-21","Spurs",""," Robert Horry","placed on IL"
"3469","2008-01-21","Spurs"," Jeremy Richardson","","activated from IL"
"4469","2008-01-21","Warriors",""," Marco Belinelli","placed on IL"
"5469","2008-01-21","Warriors"," Mickael Pietrus","","activated from IL"
"6469","2008-01-22","Kings",""," Kenny Thomas","placed on IL"
"7469","2008-01-22","Kings"," Justin Williams","","activated from IL"
"8469","2008-01-23","Bulls",""," Luol Deng","placed on IL with left Achilles tendinitis"
"9469","2008-01-23","Bulls"," Demetris Nichols","","activated from IL"
"10469","2008-01-23","Cavaliers",""," Shannon Brown","placed on IL"
"11469","2008-01-23","Cavaliers"," Ira Newble","","activated from IL"
"12469","2008-01-23","Hawks",""," Zaur Pachulia / Zaza Pachulia","placed on IL"
"13469","2008-01-23","Hawks"," Solomon Jones","","activated from IL"
"14469","2008-01-23","Mavericks",""," Brandon Bass","placed on IL with sore right foot"
"15469","2008-01-23","Mavericks"," Juwan Howard","","activated from IL"
"16469","2008-01-23","Pacers",""," Troy Murphy","placed on IL with sore left knee"
"17469","2008-01-23","Pacers"," Andre Owens","","activated from IL"
"18469","2008-01-23","Rockets",""," Mike James (Lamont)","placed on IL"
"19469","2008-01-23","Rockets"," Steve Novak","","activated from IL"
"20469","2008-01-23","Spurs",""," Jeremy Richardson","placed on IL"
"21494","2008-01-23","Spurs"," Robert Horry","","activated from IL"
"22477","2008-01-24","Heat",""," Shaquille O'Neal","placed on IL with sore left hip & leg"
"23469","2008-01-24","Heat"," Joel Anthony","","activated from IL"
"24469","2008-01-24","Pacers",""," Jamaal Tinsley","placed on IL with sore left knee"
"25469","2008-01-24","Pacers"," Troy Murphy","","activated from IL"
"26469","2008-01-24","Warriors",""," Kosta Perovic","placed on IL"
"21037","2008-01-24","Warriors"," Marco Belinelli","","activated from IL"
"3470","2008-01-25","Bulls",""," Ben Gordon","placed on IL with sore right wrist"
"4470","2008-01-25","Bulls"," Chris Duhon","","activated from IL"
"5470","2008-01-25","Cavaliers",""," Aleksandar Pavlovic / Sasha Pavlovic","placed on IL with sprained left foot"
"6470","2008-01-25","Cavaliers"," Donyell Marshall","","activated from IL"
"7470","2008-01-25","Grizzlies",""," Pau Gasol","placed on IL with sore back"
"8470","2008-01-25","Grizzlies",""," Stromile Swift","placed on IL with sore ankle"
"9470","2008-01-25","Grizzlies"," Brian Cardinal","","activated from IL"
"10470","2008-01-25","Grizzlies"," Casey Jacobsen","","activated from IL"
"11470","2008-01-25","Hawks",""," Solomon Jones","placed on IL"
"12470","2008-01-25","Hawks"," Zaur Pachulia / Zaza Pachulia","","activated from IL"
"13470","2008-01-25","Knicks",""," Fred Jones","placed on IL with flu-like symptoms"
"14470","2008-01-25","Knicks"," Wilson Chandler","","activated from IL"
"15470","2008-01-25","Mavericks",""," Jerry Stackhouse","placed on IL with strained right hamstring"
"16470","2008-01-25","Mavericks"," Brandon Bass","","activated from IL"
"17470","2008-01-26","Spurs",""," Brent Barry","placed on IL with torn left calf muscle"
"18470","2008-01-26","Spurs"," Jeremy Richardson","","activated from IL"
"19470","2008-01-27","Celtics",""," Scot Pollard","placed on IL"
"20470","2008-01-27","Celtics"," James Posey","","activated from IL"
"21495","2008-01-27","Rockets",""," Yao Ming","placed on IL with upper respiratory infection"
"22478","2008-01-27","Rockets"," Mike James (Lamont)","","activated from IL"
"23470","2008-01-27","Suns",""," Grant Hill","placed on IL with back spasms"
"24470","2008-01-27","Suns"," Alando Tucker","","activated from IL"
"25470","2008-01-28","Grizzlies",""," Mike Conley Jr.","placed on IL with bruised chest"
"26470","2008-01-28","Grizzlies"," Pau Gasol","","activated from IL"
"21038","2008-01-28","Grizzlies"," Stromile Swift","","activated from IL"
"3471","2008-01-28","Mavericks",""," Devin Harris","placed on IL with bone bruise on left ankle"
"4471","2008-01-28","Mavericks"," Maurice Ager","","activated from IL"
"5471","2008-01-29","Hawks",""," Mario West","placed on IL"
"6471","2008-01-29","Hawks"," Solomon Jones","","activated from IL"
"7471","2008-01-29","Rockets",""," Kirk Snyder","placed on IL"
"8471","2008-01-29","Rockets",""," Tracy McGrady","placed on IL with flu"
"9471","2008-01-29","Rockets"," Mike James (Lamont)","","activated from IL (P)"
"10471","2008-01-29","Rockets"," Yao Ming","","activated form IL"
"11471","2008-01-29","Sonics"," Robert Swift","","activated from IL"
"12471","2008-01-29","Spurs",""," (William) Tony Parker","placed on IL with bone spur in left heel"
"13471","2008-01-29","Spurs"," Ian Mahinmi","","activated from IL"
"14471","2008-01-29","Suns",""," Alando Tucker","placed on IL"
"15471","2008-01-29","Suns"," Grant Hill","","activated from IL"
"16471","2008-01-29","Timberwolves",""," Mark Madsen","placed on IL"
"17471","2008-01-29","Timberwolves"," Michael Doleac","","activated from IL"
"18471","2008-01-29","Timberwolves"," Randy Foye","","activated from IL"
"19471","2008-01-29","Warriors",""," Chris Webber","placed on IL"
"20471","2008-01-30","Cavaliers",""," Anderson Varejao","placed on IL with sprained left ankle"
"21496","2008-01-30","Cavaliers"," Cedric Simmons","","activated"
"22479","2008-01-30","Hornets",""," Morris Peterson","placed on IL with viral infection"
"23471","2008-01-30","Hornets"," Adam Haluska","","activated from IL"
"24471","2008-01-30","Knicks",""," Jerome James","placed on IL"
"25471","2008-01-30","Knicks"," Fred Jones","","activated from IL"
"26471","2008-01-30","Magic",""," James Augustine","placed on IL"
"21039","2008-01-30","Magic"," Jameer Nelson","","activated from IL"
"3472","2008-01-30","Raptors",""," Darrick Martin","placed on IL"
"4472","2008-01-30","Raptors"," Maceo Baston","","activated from IL"
"5472","2008-01-30","Timberwolves",""," Rashad McCants","placed on IL with flu"
"6472","2008-01-30","Timberwolves"," Mark Madsen","","activated from IL"
"7472","2008-01-31","Cavaliers",""," LeBron James","placed on IL with sprained right ankle"
"8472","2008-01-31","Cavaliers"," Shannon Brown","","activated from IL"
"9472","2008-02-01","76ers",""," Jason Smith","placed on IL with sprained left ankle"
"10472","2008-02-01","76ers"," Louis Amundson / Lou Amundson","","activated from IL"
"11472","2008-02-01","Hornets",""," Adam Haluska","placed on IL"
"12472","2008-02-01","Hornets",""," Marcus Vinicius Viera de Souza","placed on IL"
"13472","2008-02-01","Hornets"," Bobby Jackson","","activated from IL"
"14472","2008-02-01","Hornets"," Morris Peterson","","activated from IL"
"15472","2008-02-01","Knicks",""," Eddy Curry","placed on IL with flu-like symptoms"
"16472","2008-02-01","Knicks",""," Quentin Richardson","placed on IL with flu-like symptoms"
"17472","2008-02-01","Knicks"," Jerome James","","activated from IL"
"18472","2008-02-01","Knicks"," Randolph Morris","","activated from IL"
"19472","2008-02-01","Pacers",""," Andre Owens","placed on IL"
"20472","2008-02-01","Pacers"," Jamaal Tinsley","","activated from IL"
"21497","2008-02-01","Rockets",""," Mike James (Lamont)","placed on IL"
"22480","2008-02-01","Rockets"," Tracy McGrady","","activated from IL"
"23472","2008-02-01","Timberwolves",""," Mark Madsen","placed on IL"
"24472","2008-02-01","Timberwolves"," Rashad McCants","","activated from IL"
"25472","2008-02-02","Bucks",""," Michael Redd","placed on IL with strained left knee"
"26472","2008-02-02","Bucks"," Desmond Mason","","activated from IL"
"21040","2008-02-02","Bulls",""," Demetris Nichols","placed on IL"
"3473","2008-02-02","Bulls"," Ben Gordon","","activated from IL"
"4473","2008-02-02","Cavaliers",""," Shannon Brown","placed on IL"
"5473","2008-02-02","Cavaliers"," LeBron James","","activated from IL"
"6473","2008-02-02","Hawks",""," Solomon Jones","placed on IL"
"7473","2008-02-02","Hawks"," Mario West","","activated from IL"
"8473","2008-02-02","Knicks",""," Randolph Morris","placed on IL"
"9473","2008-02-02","Knicks"," Quentin Richardson","","activated from IL"
"10473","2008-02-02","Nets",""," Jamaal Magloire","placed on IL"
"11473","2008-02-02","Nets"," Nenad Krstic","","activated from IL"
"12473","2008-02-02","Rockets",""," Luther Head","placed on IL with groin injury"
"13473","2008-02-02","Rockets"," Mike James (Lamont)","","activated from IL"
"14473","2008-02-02","Bucks",""," Ramon Sessions","placed on IL with fractured left hand (date approximate)"
"15473","2008-02-04","Blazers",""," James Jones (b)","placed on IL with sore left knee"
"16473","2008-02-04","Blazers"," Josh McRoberts","","activated from IL"
"17473","2008-02-04","Bulls",""," Tyrus Thomas","placed on IL with sprained left foot"
"18473","2008-02-04","Bulls"," Demetris Nichols","","activated from IL"
"19473","2008-02-04","Hornets",""," Hilton Armstrong","placed on IL"
"20473","2008-02-04","Knicks",""," Nate Robinson","placed on IL with bruised left quadriceps"
"21498","2008-02-04","Knicks"," Eddy Curry","","activated from IL"
"22481","2008-02-04","Raptors",""," Maceo Baston","placed on IL"
"23473","2008-02-04","Raptors"," T.J. Ford","","activated from IL"
"24473","2008-02-05","76ers",""," Louis Amundson / Lou Amundson","placed on IL"
"25473","2008-02-05","76ers"," Jason Smith","","activated from IL"
"26473","2008-02-05","Nets",""," Stromile Swift","placed on IL"
"21041","2008-02-05","Nets"," Jamaal Magloire","","activated from IL"
"3474","2008-02-06","Bulls",""," Viktor Khryapa","placed on IL"
"4474","2008-02-06","Bulls"," Tyrus Thomas","","activated from IL"
"5474","2008-02-06","Heat",""," Shawn Marion","placed on IL (date approximate)"
"6474","2008-02-06","Hornets",""," Tyson Chandler","placed on IL with flu"
"7474","2008-02-06","Hornets"," Hilton Armstrong","","activated from IL"
"8474","2008-02-06","Kings",""," Brad Miller","placed on IL with right index finger injury"
"9474","2008-02-06","Kings"," Kenny Thomas","","activated from IL"
"10474","2008-02-06","Knicks",""," Quentin Richardson","placed on IL with sprained right ankle"
"11474","2008-02-06","Knicks"," Nate Robinson","","activated from IL"
"12474","2008-02-06","Pacers",""," Jamaal Tinsley","placed on IL with sore right knee"
"13474","2008-02-06","Pacers"," Andre Owens","","activated from IL"
"14474","2008-02-06","Suns",""," Shaquille O'Neal","placed on IL"
"15474","2008-02-06","Suns"," Alando Tucker","","activated from IL"
"16474","2008-02-07","Cavaliers",""," Drew Gooden","placed on IL with groin injury"
"17474","2008-02-07","Cavaliers"," Shannon Brown","","activated from IL"
"18474","2008-02-07","Warriors",""," Brandan Wright","placed on IL"
"19474","2008-02-07","Warriors",""," Patrick O'Bryant","placed on IL"
"20474","2008-02-07","Warriors"," Austin Croshere","","activated from IL"
"21499","2008-02-07","Warriors"," Chris Webber","","activated from IL"
"22482","2008-02-08","Bobcats",""," Derek Anderson","placed on IL with sore right knee"
"23474","2008-02-08","Bobcats"," Jermareo Davidson","","activated from IL"
"24474","2008-02-08","Grizzlies"," Mike Conley Jr.","","activated from IL"
"25474","2008-02-08","Kings",""," Kenny Thomas","placed on IL"
"26474","2008-02-08","Kings"," Brad Miller","","activated from IL"
"21042","2008-02-08","Knicks",""," Nate Robinson","placed on IL with upper respiratory infection"
"3475","2008-02-08","Knicks"," Randolph Morris","","activated from IL"
"4475","2008-02-08","Mavericks",""," Erick Dampier","placed on IL with sprained right ankle"
"5475","2008-02-08","Mavericks"," Jerry Stackhouse","","activated from IL"
"6475","2008-02-08","Nets",""," Jamaal Magloire","placed on IL"
"7475","2008-02-08","Nets"," Stromile Swift","","activated from IL"
"8475","2008-02-09","Bucks",""," Maurice Williams / Mo Williams","placed on IL with flu"
"9475","2008-02-09","Bucks"," Michael Redd","","activated from IL"
"10475","2008-02-09","Kings",""," Francisco Garcia","placed on IL with strained lower back"
"11475","2008-02-09","Kings"," Kenny Thomas","","activated from IL"
"12475","2008-02-09","Knicks",""," Randolph Morris","placed on IL"
"13475","2008-02-09","Knicks"," Quentin Richardson","","activated from IL"
"14475","2008-02-10","Celtics",""," Kendrick Perkins","placed on IL with dislocated left shoulder"
"15475","2008-02-10","Celtics"," Scot Pollard","","activated from IL"
"16475","2008-02-10","Heat",""," Udonis Haslem","placed on IL with sprained left ankle"
"17475","2008-02-10","Heat"," Shawn Marion","","activated from IL"
"18475","2008-02-10","Mavericks",""," Maurice Ager","placed on IL"
"19475","2008-02-10","Mavericks"," Erick Dampier","","activated from IL"
"20475","2008-02-11","Bucks",""," Awvee Storey","placed on IL"
"21500","2008-02-11","Bucks"," Maurice Williams / Mo Williams","","activated from IL"
"22483","2008-02-11","Cavaliers",""," Daniel Gibson","placed on IL with strained right hamstring"
"23475","2008-02-11","Cavaliers"," Drew Gooden","","activated from IL"
"24475","2008-02-11","Magic",""," Keyon Dooling","placed on IL with foot injury"
"25475","2008-02-11","Magic"," James Augustine","","activated from IL"
"26475","2008-02-11","Raptors",""," Joey Graham","placed on IL"
"21043","2008-02-11","Raptors"," Darrick Martin","","activated from IL"
"3476","2008-02-12","Hornets",""," Morris Peterson","placed on IL with back spasms"
"4476","2008-02-12","Hornets"," Tyson Chandler","","activated from IL"
"5476","2008-02-12","Timberwolves",""," Rashad McCants","placed on IL with sprained right ankle"
"6476","2008-02-12","Timberwolves"," Mark Madsen","","activated from IL"
"7476","2008-02-13","Bucks",""," Charlie Villanueva","placed on IL with sprained right ankle"
"8476","2008-02-13","Bucks"," Awvee Storey","","activated from IL"
"9476","2008-02-13","Hawks",""," Josh Childress","placed on IL with hyperextended right knee"
"10476","2008-02-13","Hawks"," Lorenzen Wright","","activated from IL"
"11476","2008-02-13","Knicks",""," Jerome James","placed on IL"
"12476","2008-02-13","Knicks"," Nate Robinson","","activated from IL"
"13476","2008-02-13","Magic",""," James Augustine","placed on IL"
"14476","2008-02-13","Magic"," Keyon Dooling","","activated from IL"
"15476","2008-02-13","Mavericks",""," Jerry Stackhouse","placed on IL with strained right hamstring"
"16476","2008-02-13","Mavericks"," Nick Fazekas","","activated from IL"
"17476","2008-02-13","Raptors",""," T.J. Ford","placed on IL with sprained right wrist"
"18476","2008-02-13","Raptors"," Maceo Baston","","activated from IL"
"19476","2008-02-13","Timberwolves",""," Mark Madsen","placed on IL"
"20476","2008-02-13","Timberwolves"," Rashad McCants","","activated from IL"
"21501","2008-02-13","Warriors",""," Chris Webber","placed on IL with leg injury"
"22484","2008-02-13","Warriors"," Brandan Wright","","activated from IL"
"23476","2008-02-19","76ers",""," Calvin Booth","placed on IL"
"24476","2008-02-19","76ers"," Louis Amundson / Lou Amundson","","activated from IL"
"25476","2008-02-19","Bobcats",""," Ryan Hollins","placed on IL"
"26476","2008-02-19","Bobcats"," Derek Anderson","","activated from IL"
"21044","2008-02-19","Cavaliers",""," Shannon Brown","placed on IL"
"3477","2008-02-19","Cavaliers"," Daniel Gibson","","activated from IL"
"4477","2008-02-19","Celtics",""," Brian Scalabrine","placed on IL with strained right groin"
"5477","2008-02-19","Celtics"," Kendrick Perkins","","activated from IL"
"6477","2008-02-19","Hawks"," Josh Childress","","activated from IL"
"7477","2008-02-19","Hawks"," Solomon Jones","","activated from IL"
"8477","2008-02-19","Kings",""," Kenny Thomas","placed on IL"
"9477","2008-02-19","Kings",""," Tyronn Lue","placed on IL with left calf injury"
"10477","2008-02-19","Kings"," Francisco Garcia","","activated from IL"
"11477","2008-02-19","Knicks",""," Wilson Chandler","placed on IL"
"12477","2008-02-19","Knicks"," Jerome James","","activated from IL"
"13477","2008-02-19","Rockets",""," Mike James (Lamont)","placed on IL"
"14477","2008-02-19","Rockets"," Luther Head","","activated from IL"
"15477","2008-02-19","Sonics",""," Kevin Durant","placed on IL with flu"
"16477","2008-02-19","Sonics"," Mickael Gelabale","","activated from IL"
"17477","2008-02-19","Timberwolves",""," Michael Doleac","placed on IL"
"18477","2008-02-19","Timberwolves"," Chris Richard","","activated from IL"
"19477","2008-02-19","Warriors",""," Marco Belinelli","placed on IL"
"20477","2008-02-19","Warriors"," Chris Webber","","activated from IL"
"21502","2008-02-20","76ers",""," Louis Amundson / Lou Amundson","placed on IL"
"22485","2008-02-20","76ers"," Calvin Booth","","activated from IL"
"23477","2008-02-20","Bucks",""," Awvee Storey","placed on IL"
"24477","2008-02-20","Bucks"," Charlie Villanueva","","activated from IL"
"25477","2008-02-20","Bulls",""," Demetris Nichols","placed on IL"
"26477","2008-02-20","Bulls"," Luol Deng","","activated from IL"
"21045","2008-02-20","Grizzlies",""," Mike Miller","placed on IL with back injury"
"3478","2008-02-20","Hornets",""," Marcus Vinicius Viera de Souza","placed on IL"
"4478","2008-02-20","Hornets"," Morris Peterson","","activated from IL"
"5478","2008-02-20","Knicks",""," Jerome James","placed on IL"
"6478","2008-02-20","Knicks"," Wilson Chandler","","activated from IL"
"7478","2008-02-20","Nets",""," Devin Harris","placed on IL with sprained left ankle"
"8478","2008-02-20","Nets",""," Keith Van Horn","placed on IL"
"9478","2008-02-20","Nets",""," Stromile Swift","placed on IL (with flu?)"
"10478","2008-02-20","Nets"," Jamaal Magloire","","activated from IL"
"11478","2008-02-20","Suns"," Shaquille O'Neal","","activated from IL"
"12478","2008-02-20","Warriors",""," Stephen Jackson","placed on IL with sprained left ankle"
"13478","2008-02-20","Warriors"," Marco Belinelli","","activated from IL"
"14478","2008-02-21","Sonics",""," Francisco Elson","placed on IL"
"15478","2008-02-21","Sonics"," Kevin Durant","","activated from IL"
"16478","2008-02-21","Spurs",""," Kurt Thomas","placed on IL"
"17478","2008-02-21","Timberwolves",""," Antoine Walker","placed on IL"
"18478","2008-02-21","Timberwolves"," Theo Ratliff","","activated from IL"
"19478","2008-02-22","76ers",""," Reggie Evans","placed on IL"
"20478","2008-02-22","76ers"," Louis Amundson / Lou Amundson","","activated from IL"
"21503","2008-02-22","Cavaliers",""," Daniel Gibson","placed on IL with sprained left ankle"
"22486","2008-02-22","Mavericks",""," Antoine Wright","placed on IL"
"23478","2008-02-22","Mavericks"," Jerry Stackhouse","","activated from IL"
"24478","2008-02-22","Raptors",""," Darrick Martin","placed on IL"
"25478","2008-02-22","Raptors",""," Primoz Brezec","placed on IL"
"26478","2008-02-22","Raptors"," Joey Graham","","activated from IL"
"21046","2008-02-22","Raptors"," T.J. Ford","","activated from IL"
"3479","2008-02-22","Sonics",""," Robert Swift","placed on IL with torn meniscus in right knee"
"4479","2008-02-22","Sonics"," Francisco Elson","","activated from IL"
"5479","2008-02-22","Warriors",""," Andris Biedrins","placed on IL recovering from surgery to remove appendix"
"6479","2008-02-22","Warriors"," Patrick O'Bryant","","activated from IL"
"7479","2008-02-23","76ers",""," Louis Amundson / Lou Amundson","placed on IL"
"8479","2008-02-23","76ers"," Reggie Evans","","activated from IL"
"9479","2008-02-23","Bobcats",""," Gerald Wallace","placed on IL with concussion"
"10479","2008-02-23","Bobcats"," Ryan Hollins","","activated from IL"
"11479","2008-02-23","Heat",""," Joel Anthony","placed on IL"
"12479","2008-02-23","Heat"," Udonis Haslem","","activated from IL"
"13479","2008-02-23","Hornets",""," Julian Wright","placed on IL"
"14479","2008-02-24","Bulls",""," Shannon Brown","placed on IL"
"15479","2008-02-24","Raptors",""," Maceo Baston","placed on IL"
"16479","2008-02-24","Raptors"," Primoz Brezec","","activated from IL"
"17479","2008-02-24","Rockets",""," Adam Haluska","placed on IL"
"18479","2008-02-24","Rockets",""," Gerald Green (b. 1986-01-26)","placed on IL"
"19479","2008-02-24","Suns",""," Alando Tucker","placed on IL"
"20479","2008-02-25","Bulls",""," Cedric Simmons","placed on IL"
"21504","2008-02-25","Bulls"," Demetris Nichols","","activated from IL"
"22487","2008-02-25","Mavericks",""," Eddie Jones","placed on IL with stomach illness"
"23479","2008-02-25","Mavericks"," Antoine Wright","","activated from IL"
"24479","2008-02-25","Spurs"," Kurt Thomas","","activated from IL"
"25479","2008-02-26","Cavaliers",""," Zydrunas Ilgauskas","placed on IL with upper respiratory infection"
"26479","2008-02-26","Cavaliers"," Anderson Varejao","","activated from IL"
"21047","2008-02-26","Rockets",""," Bobby Jones (Ray)","placed on IL"
"3480","2008-02-26","Rockets",""," Yao Ming","placed on IL with stress fracture in left foot"
"4480","2008-02-26","Rockets"," Gerald Green (b. 1986-01-26)","","activated from IL"
"5480","2008-02-26","Sonics",""," Earl Watson","placed on IL with flu"
"6480","2008-02-26","Timberwolves",""," Greg Buckner","placed on IL"
"7480","2008-02-26","Timberwolves"," Michael Doleac","","activated from IL"
"8480","2008-02-26","Warriors",""," Patrick O'Bryant","placed on IL"
"9480","2008-02-26","Warriors"," Stephen Jackson","","activated from IL"
"10480","2008-02-27","76ers",""," Jason Smith","placed on IL with sprained left ankle"
"11480","2008-02-27","76ers"," Louis Amundson / Lou Amundson","","activated from IL"
"12480","2008-02-27","Cavaliers",""," Kaniel Dickens","placed on IL"
"13480","2008-02-27","Cavaliers"," Zydrunas Ilgauskas","","activated from IL"
"14480","2008-02-27","Celtics",""," Tony Allen","placed on IL with strained right calf (flu per CBC)"
"15480","2008-02-27","Celtics"," Brian Scalabrine","","activated from IL"
"16480","2008-02-27","Hornets",""," Bonzi Wells","placed on IL with bruised/sore right Achilles tendon"
"17480","2008-02-27","Hornets"," Julian Wright","","activated from IL"
"18480","2008-02-27","Celtics",""," P.J. Brown","placed on IL"
"19480","2008-02-28","Mavericks",""," Antoine Wright","placed on IL"
"20480","2008-02-28","Mavericks",""," Jamaal Magloire","placed on IL"
"21505","2008-02-28","Mavericks"," Eddie Jones","","activated from IL"
"22488","2008-02-28","Nets",""," Maurice Ager","placed on IL"
"23480","2008-02-28","Nets"," Devin Harris","","activated from IL"
"24480","2008-02-28","Nets"," Stromile Swift","","activated from IL"
"25480","2008-02-29","76ers"," Shavlik Randolph","","activated from IL"
"26480","2008-02-29","Blazers",""," Josh McRoberts","placed on IL"
"21048","2008-02-29","Blazers"," James Jones (b)","","activated from IL"
"3481","2008-02-29","Bulls",""," Demetris Nichols","placed on IL"
"4481","2008-02-29","Bulls",""," Thabo Sefolosha","placed on IL with sore groin"
"5481","2008-02-29","Bulls"," Cedric Simmons","","activated from IL"
"6481","2008-02-29","Bulls"," Shannon Brown","","activated from IL"
"7481","2008-02-29","Cavaliers"," Kaniel Dickens","","activated from IL"
"8481","2008-02-29","Kings",""," Lorenzen Wright","placed on IL"
"9481","2008-02-29","Kings"," Kenny Thomas","","activated from IL"
"10481","2008-02-29","Mavericks",""," Eddie Jones","placed on IL with left knee tendinitis"
"11481","2008-02-29","Mavericks"," Antoine Wright","","activated from IL"
"12481","2008-02-29","Nuggets"," Chucky Atkins","","activated from IL"
"13481","2008-02-29","Rockets",""," Gerald Green (b. 1986-01-26)","placed on IL"
"14481","2008-02-29","Rockets"," Bobby Jones (Ray)","","activated from IL"
"15481","2008-02-29","Sonics",""," Adrian Griffin","placed on IL"
"16481","2008-02-29","Sonics"," Earl Watson","","activated from IL"
"17481","2008-02-29","Timberwolves",""," Kirk Snyder","placed on IL"
"18481","2008-02-29","Timberwolves"," Mark Madsen","","activated from IL"
"19481","2008-02-29","Warriors",""," Marco Belinelli","placed on IL"
"20481","2008-02-29","Warriors"," Patrick O'Bryant","","activated from IL"
"21506","2008-03-01","76ers",""," Kevin Ollie","placed on IL with left Achilles tendinitis"
"22489","2008-03-01","76ers"," Jason Smith","","activated from IL"
"23481","2008-03-01","Magic",""," Jameer Nelson","placed on IL with strained hamstring"
"24481","2008-03-01","Magic",""," Keyon Dooling","placed on IL with sprained left foot"
"25481","2008-03-01","Magic"," James Augustine","","activated from IL"
"26481","2008-03-01","Magic"," Marcin Gortat","","activated from IL"
"21049","2008-03-02","Cavaliers",""," Zydrunas Ilgauskas","placed on IL with strained back"
"3482","2008-03-02","Celtics",""," Gabe Pruitt","placed on IL"
"4482","2008-03-02","Celtics"," Tony Allen","","activated from IL"
"5482","2008-03-02","Hornets",""," Julian Wright","placed on IL"
"6482","2008-03-02","Hornets"," Bonzi Wells","","activated from IL"
"7482","2008-03-02","Mavericks",""," Antoine Wright","placed on IL"
"8482","2008-03-02","Mavericks"," Jamaal Magloire","","activated from IL"
"9482","2008-03-02","Raptors",""," Chris Bosh","placed on IL with sore right knee"
"10482","2008-03-02","Raptors"," Maceo Baston","","activated from IL"
"11482","2008-03-02","Timberwolves",""," Marko Jaric","placed on IL with right thigh/knee injury"
"12482","2008-03-02","Timberwolves"," Kirk Snyder","","activated from IL"
"13482","2008-03-03","76ers",""," Shavlik Randolph","placed on IL"
"14482","2008-03-03","76ers"," Kevin Ollie","","activated from IL"
"15482","2008-03-03","Hornets",""," Bonzi Wells","placed on IL with sore right Achilles tendon"
"16482","2008-03-03","Hornets"," Julian Wright","","activated from IL"
"17482","2008-03-03","Knicks",""," Zach Randolph","placed on IL with bruised right foot"
"18482","2008-03-03","Knicks"," Randolph Morris","","activated from IL"
"19482","2008-03-04","Kings",""," Kenny Thomas","placed on IL"
"20482","2008-03-04","Kings"," Lorenzen Wright","","activated from IL"
"21507","2008-03-04","Magic",""," James Augustine","placed on IL"
"22490","2008-03-04","Magic"," Jameer Nelson","","activated from IL"
"23482","2008-03-04","Nets",""," Bostjan Nachbar","placed on IL with strained left hip flexor"
"24482","2008-03-04","Nets"," Maurice Ager","","activated from IL"
"25482","2008-03-04","Suns",""," Eric Piatkowski","placed on IL"
"26482","2008-03-04","Timberwolves",""," Rashad McCants","placed on IL with illness"
"21050","2008-03-04","Timberwolves"," Greg Buckner","","activated from IL"
"3483","2008-03-04","Timberwolves"," Marko Jaric","","activated from IL"
"4483","2008-03-04","Warriors",""," Chris Webber","placed on IL with sore left knee"
"5483","2008-03-04","Warriors"," Marco Belinelli","","activated from IL"
